"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"dim1"	"dim2"	"dim3"
"Kachi Plain 532 641"	"Kachi Plain"	532	641	8900000	3050000	4e+05	3250000	-0.595867758226045	0.84576889671008	0.920331483946184
"Kachi Plain 670 750"	"Kachi Plain"	670	750	2.8e+07	9e+06	3e+05	9e+06	-0.641697395303621	0.846976858506615	0.727643181268419
"Kachi Plain 750 861"	"Kachi Plain"	750	861	2.1e+07	1e+06	3e+05	1.1e+07	-0.541122953853822	0.914151662368037	0.855584856356864
"Kachi Plain 862 1192"	"Kachi Plain"	862	1192	1e+06	140914	170408.662280702	6576506.57777778	-0.385432697248723	0.631071446762533	0.908026598191914
"Kansai -1200 -200"	"Kansai"	-1200	-200	700	1720265.20347003	450	6576506.57777778	0.728362831710936	0.409477168241685	-0.9195804643523
"Kansai -13600 -9200"	"Kansai"	-13600	-9200	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	0.865495025154322	0.506690154945059	-0.914753320552406
"Kansai -2500 -1200"	"Kansai"	-2500	-1200	700	1720265.20347003	450	6576506.57777778	0.796875865806897	0.504285039134532	-0.939131304739293
"Kansai -300 249"	"Kansai"	-300	249	2250	1720265.20347003	1500	78000	-0.135142290863312	-0.80014333067222	0.0685201306544508
"Kansai -3500 -2500"	"Kansai"	-3500	-2500	14965144.9772727	1720265.20347003	450	6576506.57777778	0.796075604502205	0.521537090028871	-0.940270186519347
"Kansai -5300 -3500"	"Kansai"	-5300	-3500	700	1720265.20347003	450	6576506.57777778	0.828805153072787	0.51968148640218	-0.950052820059091
"Kansai -9200 -5300"	"Kansai"	-9200	-5300	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	0.853098510463142	0.545733414463733	-0.938674599408063
"Kansai 1185 1333"	"Kansai"	1185	1333	5900000	295000	150000	0	-0.83944470669798	0.570625037280445	0.516081803895213
"Kansai 1336 1466"	"Kansai"	1336	1466	12500000	295000	40000	3900000	-0.754697195233687	0.728198365582977	0.489504962503995
"Kansai 1467 1567"	"Kansai"	1467	1567	1.5e+07	15000	40000	6576506.57777778	-0.557343357741825	0.558997623865681	0.706017604370762
"Kansai 1568 1602"	"Kansai"	1568	1602	1.7e+07	295000	3e+05	6576506.57777778	-0.719945032142871	0.740009083747773	0.660667559736396
"Kansai 1603 1868"	"Kansai"	1603	1868	2.2e+07	295000	570361	6576506.57777778	-0.890584294009618	0.682288032515966	0.554981481670317
"Kansai 250 537"	"Kansai"	250	537	250000	125000	170408.662280702	90000	-0.868464400765571	-0.7372387729765	0.131596811000532
"Kansai 538 710"	"Kansai"	538	710	2250000	125000	170408.662280702	5400000	-0.818253441363462	0.394759010321025	0.349521022001524
"Kansai 794 1184"	"Kansai"	794	1184	5150000	275000	150000	3243000	-0.827188353351287	0.500279188055095	0.679209273148229
"Kapuasi Basin 1650 1841"	"Kapuasi Basin"	1650	1841	262.5	1720265.20347003	262.5	4500000	0.828065542973062	-0.340202248177403	0.264237021248471
"Kapuasi Basin 1842 1987"	"Kapuasi Basin"	1842	1987	14965144.9772727	124450	262.5	4500000	0.357616213248321	-0.202196685925619	0.619680833103945
"Konya Plain -1180 -901"	"Konya Plain"	-1180	-901	120000	500	15000	6576506.57777778	-0.75457444572624	-0.19886446043117	0.290076486061223
"Konya Plain -129 -95"	"Konya Plain"	-129	-95	350000	130000	170408.662280702	6576506.57777778	-0.71277349947485	-0.0597336676854869	0.686897621044616
"Konya Plain -1344 -1181"	"Konya Plain"	-1344	-1181	1650000	325000	17500	6576506.57777778	-0.826542431082368	-0.209510974132312	0.418927288082069
"Konya Plain -1500 -1400"	"Konya Plain"	-1500	-1400	350000	62500	14500	6576506.57777778	-0.82411222148001	-0.234438270780797	0.161697620716737
"Konya Plain -1650 -1501"	"Konya Plain"	-1650	-1501	1200000	125000	12500	6576506.57777778	-0.876427521205179	-0.171067912571742	-0.0738303287526101
"Konya Plain -2000 -1700"	"Konya Plain"	-2000	-1700	75000	20000	10000	6576506.57777778	-0.708114705747305	0.158116151870517	-0.180157861392493
"Konya Plain -281 -190"	"Konya Plain"	-281	-190	1.6e+07	1387500	75000	4750000	-0.774798575439228	0.566160530205948	0.904946779844702
"Konya Plain -300 -282"	"Konya Plain"	-300	-282	2500000	420000	170408.662280702	6576506.57777778	-0.854618445726263	0.0599112497379917	0.68236657194907
"Konya Plain -3000 -2001"	"Konya Plain"	-3000	-2001	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.145979050494779	0.128325629318214	-0.346298181343879
"Konya Plain -31 283"	"Konya Plain"	-31	283	6e+07	4500000	1050000	1.7e+07	-0.731475022892793	0.511387794560178	0.888208376898239
"Konya Plain -5000 -3001"	"Konya Plain"	-5000	-3001	14965144.9772727	90	3150	6576506.57777778	0.324166443164834	0.190217097226208	-0.674209861193235
"Konya Plain -546 -334"	"Konya Plain"	-546	-334	2.6e+07	4e+06	2e+05	2750000	-0.897402934374959	0.630828461732502	0.756195320413589
"Konya Plain -6000 -5501"	"Konya Plain"	-6000	-5501	3250	1720265.20347003	3150	6576506.57777778	0.515263392152261	0.0627446845818467	-0.592108990089804
"Konya Plain -6600 -6001"	"Konya Plain"	-6600	-6001	3250	1720265.20347003	5750	6576506.57777778	0.47905244012253	0.178797591736235	-0.639602625722245
"Konya Plain -670 -547"	"Konya Plain"	-670	-547	14965144.9772727	250000	15000	6576506.57777778	-0.868427721585022	-0.146429377572137	0.478703240900284
"Konya Plain -7000 -6601"	"Konya Plain"	-7000	-6601	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	0.487236801971899	0.331889822386703	-0.671428603181536
"Konya Plain -836 -696"	"Konya Plain"	-836	-696	1250000	1e+05	17500	6576506.57777778	-0.794478780504812	-0.192191381152148	0.402171082382583
"Konya Plain -900 -837"	"Konya Plain"	-900	-837	14965144.9772727	5000	170408.662280702	6576506.57777778	-0.770375095511129	-0.33665584464325	0.282796832541399
"Konya Plain -9600 -7001"	"Konya Plain"	-9600	-7001	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	0.494650190668875	0.414067888243723	-0.817805973831632
"Konya Plain 1093 1243"	"Konya Plain"	1093	1243	1750000	275000	35000	6576506.57777778	-0.695418864231422	0.748971790204508	0.894147164093869
"Konya Plain 1263 1326"	"Konya Plain"	1263	1326	5250000	3800000	150000	2.5e+07	-0.633081755864109	0.791487948898646	0.917956536184922
"Konya Plain 1393 1402"	"Konya Plain"	1393	1402	8e+05	18000	25000	4750000	-0.657259887709052	0.802361032155269	0.894581104645877
"Konya Plain 1421 1516"	"Konya Plain"	1421	1516	7e+06	522000	230000	4750000	-0.770404247687977	0.828603735122914	0.925100990654278
"Konya Plain 1517 1682"	"Konya Plain"	1517	1682	2.8e+07	4836000	675000	4750000	-0.72584777255265	0.892179516362162	0.88819711746389
"Konya Plain 1683 1838"	"Konya Plain"	1683	1838	2.4e+07	4710000	570000	6576506.57777778	-0.650903903541119	0.920248096624653	0.80152301707354
"Konya Plain 284 394"	"Konya Plain"	284	394	5.5e+07	4250000	8e+05	1.7e+07	-0.672860571471557	0.675751997724499	0.874772224282869
"Konya Plain 395 607"	"Konya Plain"	395	607	13750000	1600000	2e+05	13500000	-0.867535443603846	0.708330160458942	0.793262377842615
"Konya Plain 632 866"	"Konya Plain"	632	866	6250000	1235000	215000	17500000	-0.829474615562898	0.747835443070817	0.909804774863879
"Konya Plain 867 1072"	"Konya Plain"	867	1072	10750000	520000	1e+05	17500000	-0.843350518184268	0.73444979008537	0.868383650705493
"Latium -1000 -717"	"Latium"	-1000	-717	14965144.9772727	1720265.20347003	200	6576506.57777778	-0.143114816704406	-0.549228210189206	0.441923122216216
"Latium -133 -31"	"Latium"	-133	-31	3e+07	2725000	4e+05	6576506.57777778	-0.615436328907192	0.413214887070778	0.680818178620896
